                                                         mask_rcnn_shapes_0768       mask_rcnn_shapes_0768      mask_rcnn_shapes_0450

mrcnn_class_conv1/kernel:0	(7, 7, 256, 1024)	        -0.0752	+0.0744	+0.0062    -0.0725	+0.0706	+0.0061     -0.0529	+0.0458	+0.0060
mrcnn_class_conv1/bias:0	(1024,)	                    -0.0298	+0.0537	+0.0051    -0.0233	+0.0488	+0.0044     -0.0192	+0.0780	+0.0071
mrcnn_class_bn1/gamma:0	(1024,)	                        +0.2321	+1.0238	+0.1030    +0.2411	+1.0192	+0.0958     +0.7961	+1.0297	+0.0278
mrcnn_class_bn1/beta:0	(1024,)	                        -0.0518	+0.1461	+0.0085    -0.0413	+0.1246	+0.0071     -0.0214	+0.0868	+0.0077
mrcnn_class_bn1/moving_mean:0*** dead?	(1024,)	        +0.0000	+0.0000	+0.0000    +0.0000	+0.0000	+0.0000     +0.0000	+0.0000	+0.0000
mrcnn_class_bn1/moving_variance:0*** dead?	(1024,)	    +1.0000	+1.0000	+0.0000    +1.0000	+1.0000	+0.0000     +1.0000	+1.0000	+0.0000
mrcnn_class_conv2/kernel:0	(1, 1, 1024, 1024)	        -0.2351	+0.1658	+0.0313    -0.2201	+0.1560	+0.0313     -0.2139	+0.1313	+0.0312
mrcnn_class_conv2/bias:0	(1024,)	                    -0.0587	+0.1573	+0.0269    -0.0534	+0.1363	+0.0237     -0.0400	+0.0943	+0.0178
mrcnn_class_bn2/gamma:0	(1024,)	                        +0.8114	+1.0074	+0.0209    +0.8429	+1.0074	+0.0177     +0.9513	+1.0221	+0.0103
mrcnn_class_bn2/beta:0	(1024,)	                        -0.0595	+0.1695	+0.0278    -0.0540	+0.1448	+0.0243     -0.0404	+0.0954	+0.0180
mrcnn_class_bn2/moving_mean:0*** dead?	(1024,)	        +0.0000	+0.0000	+0.0000    +0.0000	+0.0000	+0.0000     +0.0000	+0.0000	+0.0000
mrcnn_class_bn2/moving_variance:0*** dead?	(1024,)	    +1.0000	+1.0000	+0.0000    +1.0000	+1.0000	+0.0000     +1.0000	+1.0000	+0.0000
time_distributed_1/kernel:0	        (1024, 7)	        -0.0763	+0.0763	+0.0445    -0.0763	+0.0763	+0.0445     -0.0763	+0.0763	+0.0442
time_distributed_1/bias:0*** dead?	(7,)	            +0.0000	+0.0000	+0.0000    +0.0000	+0.0000	+0.0000     +0.0000	+0.0000	+0.0000
mrcnn_bbox_fc/kernel:0	            (1024, 28)	        -0.1050	+0.0947	+0.0332    -0.1116	+0.0914	+0.0337     -0.1573	+0.1137	+0.0356
mrcnn_bbox_fc/bias:0	            (28,)	            -0.7363	+0.5400	+0.2459    -0.6530	+0.4938	+0.2235     -0.5188	+0.3642	+0.1811

